serial_no,stockist_code,stockist_name,month,filename,division_code,product_name,company_product_name,pack,opening_qty,opening_value,purchase_qty,purchase_value,sales_qty,sales_value,closing_qty,closing_value,Remark
156,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,65,TELPRES 40CT/12.5MG,,15TAB,21,,10,,14,1695,17,1852,
157,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,65,TELPRES 40CT/6.25MG,,15TAB,14,,20,,14,1268,20,1630,
158,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,CYTOGARD 20MG TAB,CYTOGARD 20MG TABS 10S,10TAB,9,,0,,2,228,7,790,
159,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,CYTOGARD MR 35MG TAB,Cytogard MR 35mg Tab,10,4,,10,,1,136,13,1588,
160,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,CYTOGARD OD 60MG CAP,Cytogard OD 80 mg Cap 10s,15,23,,10,,10,4047,23,9214,
161,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,FORTIUS 10MG TAB,Fortius 10mg 10s Tab,10TAB,50,,60,,55,1552,55,1412,
162,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,FORTIUS 20MG TAB,Fortius 20mg 10s Tab,10,10,,0,,10,1562,0,0,
163,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,FORTIUS 40MG TAB,Fortius 40mg 10s Tab,10,11,,0,,0,0,11,2593,
164,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,FORTIUS 5MG,Fortius 5mg 10s Tab,10TAB,30,,80,,62,1170,48,863,
165,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,FORTIUS F 10MG,,10,14,,0,,8,1565,6,1056,
166,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,FORTIUS F 20MG,Fortius F 20mg Tab,10,0,,0,,0,0,0,0,
167,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,FORTIUS GOLD 10MG,,NA,35,,0,,0,0,35,3924,
168,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,GTN SORBITRATE CR 2.6 TAB,GTN SORBITRATE CR 2.6 tabs 30s,30TAB,19,,50,,32,7531,37,7961,
169,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,GTN SORBITRATE CR 6.4 TAB,GTN SORBITRATE CR 6.4 tabs 30s,30TAB,12,,0,,1,321,11,3173,
170,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,SORBITRATE 10MG,,50TAB,53,,0,,43,1312,10,295,
171,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,SORBITRATE 5MG (DPCO),,50TAB,120,,30,,77,2556,73,2181,
172,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,TELPRES LN 40MG TAB,Telpres 20 mg  Tab 15s,10TAB,6,,0,,3,228,3,205,
173,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,TELPRES MT 25MG,,15TAB,13,,0,,1,326,12,3522,
174,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,TELPRES MT 50MG,Telpres MT 50 Tabs 15T,15TAB,4,,10,,1,362,13,4234,
175,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,84,TG GOAL 145 TAB,TG Goal 145 tabs 10s,10TAB,11,,0,,0,0,11,2167,
176,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,AMISANT 100MG TAB,,10TAB,10,,0,,0,0,10,1364,
177,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,AMISANT 50MG TAB,,10TAB,10,,0,,0,0,10,664,
178,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,BRIVAJOY 25MG TAB,Brivajoy 25 Tab 14s,14,18,,0,,0,0,18,1782,
179,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,BRIVAJOY 50MG TAB,Brivajoy 25 Tab 14s,14TAB,22,,0,,4,955,18,4504,
180,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,EPILEX 200MG TAB,EPILEX TABS 10'S,15,29,,0,,0,0,29,1143,
181,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,EPILEX CHRONO 200MG,,15TAB,37,,0,,2,220,35,3467,
182,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,EPILEX CHRONO 300,EPILEX CHRONO 300 TABS 15s,15,29,,0,,3,223,26,1743,
183,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,EPILEX CHRONO 500MG,,15,30,,0,,10,1133,20,2039,
184,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,EPILEX ORAL SOLU,EPILEX ORAL SOLUTION 100 ML,200ML,9,,0,,2,211,7,2947,
185,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,70,I TYZA 100MG,,10,10,,27,,18,2442,19,2320,
186,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,LEVESAM 250MG (DPCO),,15TAB,10,,0,,0,0,10,692,
187,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,LEVESAM 500MG TAB (DPCO),,15TAB,32,,0,,0,0,32,4564,
188,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,LEVESAM 750MG TAB (DPCO),,15,10,,10,,5,1063,15,3188,
189,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,LIBRIUM 10MG TAB,LIBRIUM 10MG TABS 15S,15,101,,35,,67,8220,68,7509,
190,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,LIBRIUM 25MG TAB,LIBRIUM 25MG TABS 15S,15TAB,29,,30,,16,2989,43,7230,
191,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,MADOPAR TAB,,10TAB,25,,0,,7,2032,18,4702,
192,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,MAZETOL 100MG TAB (DPCO),,10TAB,53,,0,,9,78,44,343,
193,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,MAZETOL 200MG TAB (DPCO),,10TAB,206,,400,,330,4176,276,3171,
194,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,MAZETOL 400MG TAB (DPCO),,10TAB,20,,0,,0,0,20,520,
195,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,MAZETOL SR 200MG TAB (DPCO),,15TAB,37,,0,,5,146,32,843,
196,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,MAZETOL SR 300MG,,15,6,,0,,0,0,6,297,
197,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,MAZETOL SR 400MG TAB (DPCO),,15,25,,0,,4,228,21,1075,
198,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,MDD XR 100,MDD - XR 100 15s Tabs,15,24,,20,,15,7379,29,12839,
199,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,MDD XR 50,MDD - XR 50 15s Tabs,15,20,,20,,9,2403,31,7450,
200,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,MYSOLINE 250MG TAB,MYSOLINE TABS 250MG 10S,10TAB,63,,0,,36,4125,27,2784,
201,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,OX MAZETOL 300MG TAB,MAZETOL 200MG TAB 10s,10TAB,20,,0,,0,0,20,2710,
202,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,RIVMD SMART 0.25MG TAB,,30TAB,20,,10,,20,982,10,442,
203,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,RIVMD SMART 0.5MG TAB,,30TAB,118,,0,,63,5307,55,4170,
204,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,94,SURBEX STAR CAP,SURBEX STAR 10'S,10CAP,15,,0,,6,1296,9,1750,
205,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,SZETALO 10MG (DPCO),,15,7,,10,,4,440,13,1286,
206,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,SZETALO 20MG (DPCO),,15,10,,0,,0,0,10,1578,
207,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,SZETALO 5MG (DPCO),,15,9,,0,,0,0,9,496,
208,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,SZETALO LS TAB,SZETALO  LS TABS 15s,15,18,,0,,3,675,15,3038,
209,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,SZETALO PLUS MD TAB,Szetalo Plus MD Tablet Sales,10TAB,1,,0,,0,0,1,136,
210,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,SZETALO PLUS TAB,SZETALO PLUS TABS 15s,15,17,,20,,16,4624,21,5462,
211,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,UVOX 100MG,,10TAB,26,,0,,0,0,26,9169,
212,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,UVOX 50MG,,10TAB,31,,0,,10,2248,21,4249,
213,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,UVOX CR 100,Uvox CR 100 Tablet Sales 10,10TAB,20,,0,,8,2850,12,3847,
214,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,UVOX CR 150,,10TAB,46,,50,,52,22873,44,17418,
215,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,VALANCE OD 1000MG TAB,Valance OD eazy glide 1000 mg 15s,15,16,,10,,7,2040,19,5404,
216,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,VALANCE OD 250MG,Valance OD eazy glide 250 mg 15s,15TAB,46,,0,,23,3719,23,3347,
217,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,VALANCE OD 500MG,Valance OD eazy glide 500 mg 15s,15TAB,18,,10,,10,2913,18,4719,
218,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,VALANCE OD 750MG,Valance OD eazy glide 750 mg 15s,15TAB,29,,0,,11,3797,18,5592,
219,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,VALANCE SOLUTION 250MG,Valance solution 100ml,100 ML,7,,10,,8,1702,9,1944,
220,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,77,VALANCE SOLUTION 500MG,Valance solution 100ml,200ML,6,,0,,4,2781,2,1251,
221,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,53,ABTIKA 60MG TAB,,10TAB,0,,0,,0,0,0,0,
222,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,53,ABTIKA 90MG TAB,,10TAB,0,,0,,0,0,0,0,
223,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,ACITROM 1.5MG,,30,0,,0,,0,0,0,0,
224,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,ACITROM 1MG TAB,Acitrom 1mg tablets 30s,30TAB,22,,0,,4,1007,18,4077,
225,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,ACITROM 2.5MG TAB,,30TAB,0,,0,,0,0,0,0,
226,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,ACITROM 2MG TAB,Acitrom 2mg tablets 30s,30TAB,19,,0,,9,3548,10,3903,
227,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,ACITROM 3.5MG,,30,0,,0,,0,0,0,0,
228,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,ACITROM 3MG TAB,Acitrom 3mg tablets 30s,30TAB,9,,0,,1,504,8,3627,
229,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,ACITROM 4MG TAB,Acitrom 4mg tablets 30s,30TAB,19,,20,,19,10210,20,9673,
230,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,BISOSAFE 5MG,,10,0,,0,,0,0,0,0,
231,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,BISOSAFE AM 2.5MG TAB,,10TAB,3,,10,,2,100,11,493,
232,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,BISOSAFE AM 5MG TAB,,10TAB,29,,0,,0,0,29,1739,
233,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,BISOSAFE T 2.5MG+40MG TAB,,10TAB,0,,0,,0,0,0,0,
234,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,BISOSAFE T 5MG+40MG TAB,,10TAB,0,,0,,0,0,0,0,
235,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,DABLEXA 110MG CAP,,10CAP,10,,0,,0,0,10,2330,
236,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,DABLEXA 150MG CAP,,10CAP,12,,0,,0,0,12,3128,
237,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,69,HFTRIL 50MG,,14,9,,0,,4,1355,5,1525,
238,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,53,NICODUCE 10MG TAB,NICODUCE - 10,20,10,,0,,0,0,10,4699,
239,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,53,NICODUCE 5 TAB,NICODUCE - 5,20TAB,20,,0,,5,1912,15,5161,
240,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,53,RIVAXA 10MG TAB,Rivaxa 10 mg 15s Tab,15,9,,10,,4,1027,15,3811,
241,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,53,RIVAXA 15MG TAB,Rivaxa 15 mg 15s Tab,15,6,,10,,4,1369,12,4065,
242,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,53,RIVAXA 2.5MG TAB,Rivaxa 2.5 mg 15s Tab,15,8,,10,,7,1098,11,1708,
243,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,53,RIVAXA 20MG,,15,15,,0,,4,1694,11,4192,
244,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,53,XAPILIS 2.5MG,,10,14,,0,,6,778,8,933,
245,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,53,XAPILIS 5MG TAB,Xapilis 5 mg 10s Tab,10,37,,0,,12,1971,25,3695,
246,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,EMOLENE CREAM,Emolene Cream 100 gm,100GM,109,,120,,109,30485,120,32168,
247,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,FACECLIN AT,,20GM,8,,0,,2,605,6,1633,
248,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,FACECLIN CREAM,FACECLIN TUBE 20GM,20GM,17,,20,,17,2860,20,3028,
249,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,FACECLIN FACE WASH,Faceclin Face Wash 100gm,100GM,13,,12,,9,4058,16,6492,
250,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,FOLLISERUM,Folliserum 60 ml,60ML,5,,0,,0,0,5,4677,
251,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,KETOMASTER SHAMPOO,,100ML,12,,0,,6,1997,6,1797,
252,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MELAGLOW NEW,MELAGLOW NEW 15g,30GM,10,,0,,1,617,9,4997,
253,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MELAGLOW NEW CREAM,,15GM,9,,12,,6,1977,15,4448,
254,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MELAGLOW PP CREAM,Melaglow PP cream 40 g,40GM,13,,0,,2,1722,11,8524,
255,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MELAGLOW PP FASHWASH,Melaglow PP facewash 100 ml,100ML,7,,0,,0,0,7,3054,
256,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MELAGLOW PRIME,Melaglow prime 20 gm Cream  Sale,20GM,6,,0,,1,366,5,1647,
257,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MELAGLOW PRIME LOTION,Melaglow Prime Lotion 50 gm,50GM,11,,0,,1,474,10,4265,
258,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MELAGLOW RICH,MELAGLOW RICH 20GM,20GM,15,,0,,6,2351,11,3879,
259,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MELALITE 15 CREAM,MELALITE CREAM 15 - 30 GM,50GM,99,,0,,1,182,98,16043,
260,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MELALITE FORTE CREAM,Melalite Forte 30 gm,30GM,122,,100,,81,10702,141,17322,
261,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MELALITE XL,MELALITE XL 15gm,15GM,31,,0,,5,1350,26,6320,
262,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MINICHEK,,60ML,5,,3,,3,2270,5,3405,
263,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MINICHEK ANTI HAIR SHAMPOO,,100ML,0,,0,,0,0,0,0,
264,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MINICHEK F,,60ML,12,,0,,5,4497,7,5666,
265,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MINICHEK F ULTRA,Minichek F Ultra 60 ml Sol,60ML,0,,0,,0,0,0,0,
266,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,MINICHEK ULTRA,,60ML,9,,0,,2,1656,7,5217,
267,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,70,TACITINIX 5MG TAB,,10TAB,0,,0,,0,0,0,0,
268,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,70,TACITINIX ER TAB,Tacitinix 5mg 10s Tab Sale,10TAB,0,,0,,0,0,0,0,
269,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,70,TACITINIX OINT,Tacitinix Ointment 15 gm Sale,15GM,19,,0,,0,0,19,9772,
270,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,TVAKSH FACE GUARD SPF 30+,,50GM,6,,0,,0,0,6,3152,
271,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,99,TVAKSH FACE GUARD SPF 50+,,30GM,7,,0,,4,2107,3,1422,
272,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,70,ELOCON CREAM,Elocon cream 10gm,30GM,16,,12,,6,2586,22,9082,
273,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,70,ELOCON OINT,,30GM,13,,0,,7,3280,6,2530,
274,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,80,ESGIPYRIN DS,,3ML,300,,0,,0,0,300,1095,
275,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,70,FOLLIHAIR A,,15,23,,0,,13,3948,10,2734,
276,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,70,FOLLIHAIR AMPM TAB,Follihair AMPM 20s Tab,20,25,,24,,18,6456,31,10006,
277,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,70,FOLLIHAIR BOTTLE,,30TAB,32,,10,,22,13110,20,10727,
278,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,70,FOLLIHAIR NEW TAB,FOLLIHAIR TABLETS 30S,15,41,,0,,20,6075,21,5740,
279,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,70,FOLLIHAIR RCP SERUM,Follihair RCP Serum 60ml Sale,60ML,10,,10,,5,6407,15,19028,
280,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,67,GLIMER M1 TAB,Glimer M1 tabs 15s,15,0,,0,,0,0,0,0,
281,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,67,GLIMER M2 FORTE TAB,,15,0,,0,,0,0,0,0,
282,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,67,GLIMER MV 1MG,,15,0,,0,,0,0,0,0,
283,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,67,GLIMER MV 2,,15,0,,0,,0,0,0,0,
284,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,80,GUMLOC TOTAL TOOTHPASTE,Gumloc Total 100gm Toothpaste,100GM,0,,0,,0,0,0,0,
285,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,70,I TYZA 200MG CAP,,10CAP,27,,0,,6,1080,21,3402,
286,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,70,I TYZA SB 100,,10,0,,0,,0,0,0,0,
287,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-RAHPLTD-FEB-2026-28022026-1.xlsx,70,LOBATE GN CREAM,Lobate Gn Cream 15gm,15GM,7,,10,,4,274,13,802,
